name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Ford Airport,IMT,Iron Mountain/Kingsford,620,89,11,458,5765,96,15,1147,96,13,782,96,14,902,96,12,412,93,11,431,94,16,1839,49,8,252,58,12,2053,52,8,112,57,9,523,56,6,71,57,7,202,56,7,377,58,8,343,57,11,714,56,6,365,0,0,0,54,5,431,59,10,574
Indianapolis International Airport,IND,Indianapolis,25558,7958,441,15894,285732,3879,1232,44566,3808,1126,45149,3860,1145,39819,3799,1291,44873,3735,1204,43403,2894,840,28119,3583,1120,39803,2104,693,23865,1874,751,22421,2402,744,26629,2358,625,18811,2355,655,25472,2418,889,35147,2553,882,41699,2372,701,26052,2166,447,14605,0,0,0,2459,658,21756,2497,913,29275
Falls International Airport,INL,International Falls,574,80,9,426,6677,96,12,974,82,12,503,82,13,1126,95,15,1652,92,11,718,63,8,914,64,9,790,53,6,947,48,11,1224,53,5,187,52,2,292,52,6,433,53,11,1002,53,9,523,54,8,378,52,8,277,0,0,0,50,6,827,54,8,587
Sloulin Field International Airport,ISN,Williston,2542,499,29,1938,27487,394,63,3400,375,59,4432,381,93,4539,391,84,4329,385,75,3350,250,46,3580,366,79,3857,258,80,3745,235,67,4908,272,37,2571,234,30,1244,244,33,1638,240,47,2499,249,51,2345,231,42,1531,177,31,1535,0,0,0,215,39,3216,187,42,2255
Long Island MacArthur Airport,ISP,Islip,4392,1735,135,2213,52171,635,232,7559,639,264,9178,642,264,7137,629,261,8032,622,245,6687,608,220,6888,617,249,6690,377,222,4771,349,172,5101,436,177,4906,443,134,3544,453,134,2909,404,150,4413,406,168,6184,379,148,5435,350,120,4783,0,0,0,392,150,3846,403,160,6279
Ithaca Tompkins Regional Airport,ITH,Ithaca,34,11,4,16,502,5,1,11,5,1,207,9,4,134,2,1,2,2,0,0,3,0,0,8,4,148,0,0,0,6,1,59,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,437
Hilo International Airport,ITO,Hilo,5723,1383,12,4152,22697,837,206,4013,837,165,1952,814,190,2566,872,223,3691,857,273,5412,741,146,2985,765,180,2078,505,144,3270,460,150,2715,537,125,1605,532,82,1197,545,101,1437,543,112,1286,564,131,1831,557,190,4623,495,130,2372,0,0,0,480,93,1122,505,125,1239
Jackson Hole Airport,JAC,Jackson,3511,902,54,2434,45811,475,122,5808,439,113,6958,455,108,6792,477,113,5214,460,103,4705,616,178,6921,589,165,9413,353,141,7917,323,120,5663,373,69,2191,158,23,1628,177,17,536,338,84,4011,476,101,5440,486,119,3607,337,59,1918,0,0,0,127,26,1437,363,143,11463
Jackson-Evers International Airport,JAN,Jackson,7097,1860,170,4810,78349,1079,308,12789,1053,251,10377,1071,276,12319,1059,284,12975,1058,279,9891,769,202,9094,1008,260,10904,634,198,6323,566,181,6915,650,225,8183,626,166,7555,665,193,10050,696,197,9051,699,164,6006,691,142,5215,625,103,3919,0,0,0,632,143,6977,613,148,8155
Jacksonville International Airport,JAX,Jacksonville,18038,5708,211,11250,209764,2689,855,30674,2675,853,33273,2687,824,33223,2652,848,31660,2612,867,26962,2197,647,22327,2526,814,31645,1498,430,16791,1332,475,17774,1709,580,16774,1721,540,18184,1732,496,20706,1692,619,25247,1746,590,20635,1671,538,21347,1547,412,14519,0,0,0,1657,431,16164,1733,597,21623
