name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Daytona Beach International Airport,DAB,Daytona Beach,1494,346,4,1085,12665,224,51,1515,218,51,1632,219,69,3323,214,51,1480,213,39,1357,189,41,2063,217,44,1295,120,20,493,127,41,1796,155,42,946,150,41,1234,152,31,918,150,31,1334,149,37,1254,136,25,878,111,28,450,0,0,0,115,17,1340,129,33,2022
Dallas Love Field,DAL,Dallas,59699,30903,850,23378,786402,9071,4539,119030,9112,4561,118496,9126,4603,107533,8922,4928,125719,8791,4906,130291,6393,3078,72890,8284,4288,112443,5152,2431,53495,4697,2197,47984,5136,2684,59433,5150,2605,62565,5436,3378,109767,5409,3318,103672,5581,3082,80944,5803,2763,67081,5737,2338,37645,0,0,0,5728,2928,66819,5870,3179,96997
James M. Cox Dayton International Airport,DAY,Dayton,8676,2451,291,5570,93717,1304,410,16509,1291,348,12393,1319,344,13699,1293,375,16117,1275,385,13496,971,232,9354,1223,357,12149,783,229,8050,753,237,9443,819,219,8911,770,168,6106,811,192,7124,824,296,13491,907,280,11091,870,223,7734,703,171,5926,0,0,0,724,201,6212,712,235,9629
Dubuque Regional Airport,DBQ,Dubuque,928,186,58,663,9531,143,31,1990,144,25,863,144,33,1872,142,26,1030,141,28,1202,93,19,1379,121,24,1195,86,28,1163,76,33,1674,84,22,716,82,7,434,82,5,304,86,15,846,88,17,562,88,14,1006,84,7,720,0,0,0,83,15,918,89,23,1188
Ronald Reagan Washington National Airport,DCA,Arlington,73794,22599,2027,45767,804364,11235,3526,135401,11239,3150,120891,11308,3293,103842,11075,3722,138693,10880,3608,113878,7905,2091,79691,10152,3209,111968,6683,1834,66154,6229,2127,74960,6999,2304,78835,6841,1905,53760,6951,2215,75968,6698,2344,102135,6891,2148,77578,6988,2095,81891,6591,1667,57038,0,0,0,6473,1760,50826,6450,2200,85219
Denver International Airport,DEN,Denver,196055,89183,2123,93249,2714145,29489,13217,431090,28392,12600,409703,29036,13804,428549,29026,13899,417189,28593,13189,374040,23369,10075,287626,28150,12399,365948,17090,9289,291900,15642,8375,251289,18609,8120,212893,17509,7390,214141,18106,7884,213527,18667,9540,362434,19076,9298,309424,18866,7991,229802,17397,5517,125867,0,0,0,17117,7124,204353,17976,8655,298515
Dallas/Fort Worth International Airport,DFW,Dallas-Fort Worth,239551,96189,6254,125414,3207491,35347,15180,573304,34762,13071,395756,35141,13386,431852,35215,14634,460412,34771,14160,475225,30042,11385,365540,34273,14373,505402,23153,10007,316260,20839,7795,248766,23224,10589,320324,21867,9650,354495,22160,10032,393892,22573,10929,406562,22895,9252,279525,22298,8345,260809,20334,5524,147023,0,0,0,19534,6898,224135,20674,7168,255700
Dothan Regional Airport,DHN,Dothan,1260,303,17,898,13702,190,44,2494,192,38,2226,191,51,1669,184,48,1858,182,48,1681,139,21,526,182,53,3248,116,27,1976,106,20,631,120,30,1318,115,38,1068,116,26,1573,116,26,1647,118,34,1449,117,26,1002,109,18,582,0,0,0,112,28,824,115,30,1632
Dickinson Theodore Roosevelt Regional Airport,DIK,Dickinson,938,118,17,744,7556,144,21,1289,142,22,1652,142,28,2009,148,12,819,146,20,600,98,6,496,118,9,691,109,22,1978,98,23,1851,138,18,1732,150,13,405,135,10,481,68,7,153,64,9,110,61,5,57,59,7,726,0,0,0,56,4,63,0,0,0
Dillingham Airport,DLG,Dillingham,77,25,0,45,524,11,3,68,11,5,149,11,2,13,11,3,9,11,6,72,11,3,202,11,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,183,31,15,219,22,2,122,0,0,0,0,0,0,0,0,0,0,0,0
Duluth International Airport,DLH,Duluth,1719,454,52,1142,21000,243,68,4449,258,65,2875,262,60,3254,246,90,3701,241,64,2247,226,37,1346,243,70,3128,151,44,2219,137,46,1937,105,25,707,109,23,834,128,18,808,180,49,2612,153,38,1250,164,52,2309,216,63,2778,0,0,0,192,51,3475,184,45,2071
Durango-La Plata County Airport,DRO,Durango,2068,499,44,1353,22836,294,63,4107,298,69,2417,280,70,3017,302,69,3230,295,69,3863,281,76,2205,318,83,3997,188,52,2294,159,45,3933,185,43,1836,197,35,2373,203,34,1929,208,66,2990,208,54,1343,198,50,1829,179,26,599,0,0,0,149,32,836,194,62,2874
Des Moines International Airport,DSM,Des Moines,8385,2577,255,5219,115343,1291,449,23527,1220,386,17496,1286,396,16675,1218,372,15906,1254,391,16764,956,234,10126,1160,349,14849,840,317,14300,766,327,15383,813,247,10051,721,139,5622,703,195,9071,776,293,15002,788,219,10854,770,193,8494,672,150,6005,0,0,0,750,230,9975,786,267,10586
Detroit Metropolitan Airport,DTW,Detroit,108500,36175,1270,64705,1249568,16605,5911,235424,16249,5172,185015,16647,5261,175778,16409,5636,186553,16191,5454,177145,11127,3735,118937,15272,5006,170716,9473,3525,123854,8783,4152,160340,10317,3555,120613,10016,2910,94560,10474,3207,110444,9823,3978,148439,10503,3468,113815,10237,3225,107590,9392,2498,80835,0,0,0,9835,2593,83317,9647,3064,105761
Devils Lake Regional Airport,DVL,Devils Lake,525,98,46,335,5687,95,18,808,49,6,98,96,17,891,96,19,927,94,20,1562,47,4,886,48,14,515,49,18,1737,44,9,382,48,10,809,48,4,516,47,4,147,47,9,481,50,8,115,48,6,241,47,10,536,0,0,0,47,7,376,50,13,347
Chippewa Valley Regional Airport,EAU,Eau Claire,668,156,33,411,8792,96,25,2305,95,24,1408,96,27,1179,97,22,874,94,17,385,94,15,1183,96,26,1458,62,17,1630,56,10,505,63,16,700,60,11,349,62,10,365,60,17,1228,62,21,1096,62,22,1748,59,10,247,0,0,0,60,11,489,62,11,435
Northwest Florida Beaches International Airport,ECP,Panama City,4169,974,20,2984,38852,593,157,5670,585,136,7536,590,118,5097,574,147,6062,564,145,5559,685,144,4614,578,127,4314,233,60,3005,213,68,2513,413,107,2970,428,91,4199,442,110,6255,453,125,6136,490,109,3201,460,106,4399,366,54,1255,0,0,0,345,66,2145,326,78,2774
